,STR Number,Hotel Name,Address 1,Address 2,City,State,Country,Postal Code,Rooms,Market,Sub-Market,Open Date,Original Affiliation,Class,Location,Affiliation,Year/Month Affiliated,Telephone,Latitude,Longitude,coordinates,nearBeach,BeachID,distance
0,117704,Jurys Inn Aberdeen Airport,Argyll Rd,Dyce,Aberdeen,NES,United Kingdom,AB21 0AF,147,Aberdeen,Aberdeen Airport,197806.0,Mount Charlotte Hotel,Upper Midscale Class,Airport,Jurys Inn,201511.0,448713769001.0,57.197182,-2.210442,"(57.197182, -2.210442)","[3131, 5.154003124638035]",3131,5.154003124638035
1,137330,Leonardo Inn Hotel Aberdeen Airport,Argyll Rd,Dyce,Aberdeen,NES,United Kingdom,AB21 0AF,202,Aberdeen,Aberdeen Airport,196801.0,Independent,Upper Midscale Class,Airport,Leonardo Hotel,201708.0,441224772883.0,57.197549,-2.205677,"(57.197549, -2.205677)","[3131, 4.989979651324511]",3131,4.989979651324511
2,210184,Courtyard Aberdeen Airport,Argyll Way,Dyce,Aberdeen,NES,United Kingdom,AB21 0AF,194,Aberdeen,Aberdeen Airport,201307.0,Courtyard,Upscale Class,Airport,Courtyard,201307.0,441224432000.0,57.196649,-2.205876,"(57.196649, -2.205876)","[3131, 4.979548688648575]",3131,4.979548688648575
3,210828,Premier Inn Aberdeen Airport Dyce,Argyll Way,,Aberdeen,NES,United Kingdom,AB21 0AF,100,Aberdeen,Aberdeen Airport,201308.0,Premier Inn,Economy Class,Airport,Premier Inn,202007.0,448715279460.0,57.196846,-2.206853,"(57.196846, -2.206853)","[3131, 5.018461093878439]",3131,5.018461093878439
4,230879,MOXY Aberdeen Airport,Argyll Way,Dyce,Aberdeen,NES,United Kingdom,AB21 0AF,200,Aberdeen,Aberdeen Airport,201611.0,MOXY,Upper Midscale Class,Airport,MOXY,202102.0,441224545095.0,57.196576,-2.20519,"(57.196576, -2.20519)","[3131, 4.95347626728185]",3131,4.95347626728185
5,222523,Crowne Plaza Aberdeen Airport,2 International Gate,Dyce,Aberdeen,NES,United Kingdom,AB21 0BE,165,Aberdeen,Aberdeen Airport,201508.0,Crowne Plaza,Upscale Class,Airport,Crowne Plaza,201508.0,441224608350.0,57.197372,-2.204373,"(57.197372, -2.204373)","[3131, 4.939714496014151]",3131,4.939714496014151
6,248839,Pinehurst Lodge Hotel,Pitmedden Rd,Dyce,Aberdeen,NES,United Kingdom,AB21 0BF,30,Aberdeen,Aberdeen Airport,,Independent,Upscale Class,Airport,Independent,,441224722272.0,57.213758,-2.1963,"(57.213758, -2.1963)","[3131, 5.113753569480411]",3131,5.113753569480411
7,231853,Hampton By Hilton Aberdeen Airport,Harvest Way,D2 Business Park,Aberdeen,NES,United Kingdom,AB21 0BX,155,Aberdeen,Aberdeen Airport,201702.0,Hampton by Hilton,Upper Midscale Class,Airport,Hampton by Hilton,201702.0,441224984584.0,57.196051,-2.212993,"(57.196051, -2.212993)","[3131, 5.225372748362005]",3131,5.225372748362005
8,139698,Travelodge Aberdeen Airport Hotel,Burnside Dr,Dyce Off Riverview Drive,Aberdeen,NES,United Kingdom,AB21 0HW,40,Aberdeen,Aberdeen Airport,200501.0,Premier Inn,Economy Class,Airport,"Travelodge, UK",202102.0,448719846309.0,57.201378,-2.173193,"(57.201378, -2.173193)","[3131, 3.9488190354911534]",3131,3.9488190354911534
9,248921,The Newmachar,Oldmeldrum Rd,,Aberdeen,NES,United Kingdom,AB21 0QD,5,Aberdeen,Aberdeen Airport,,Independent,Upper Upscale Class,Small Metro/Town,Independent,,441651862636.0,57.269899,-2.193818,"(57.269899, -2.193818)","[2175, 5.855196346422953]",2175,5.855196346422953
