,STR Number,Hotel Name,Address 1,Address 2,City,State,Country,Postal Code,Rooms,Market,Sub-Market,Open Date,Original Affiliation,Class,Location,Affiliation,Year/Month Affiliated,Telephone,Latitude,Longitude,coordinates,nearBeach,BeachID,distance
334,116964,Holiday Inn Bristol Filton,Filton Rd,,Bristol,WMI,United Kingdom,BS16 1QX,211,Bristol,Bristol Surrounding,197101.0,Posthouse,Upper Midscale Class,Urban,Holiday Inn,202006.0,448719429014.0,51.504915,-2.536431,"(51.504915, -2.536431)","[3764, 6.757599660159867]",3764,6.757599660159867
335,157669,The Coach House Hotel,Bristol Rd,Hambrook,Bristol,WMI,United Kingdom,BS16 1RY,15,Bristol,Bristol Surrounding,,Independent,Midscale Class,Small Metro/Town,Independent,,441179566901.0,51.507895,-2.517363,"(51.507895, -2.517363)","[3764, 7.349963209837857]",3764,7.349963209837857
336,123777,Premier Inn Bristol East Emersons Green,Westerleigh Rd,Emersons Green,Bristol,WMI,United Kingdom,BS16 7AN,107,Bristol,Bristol Surrounding,199601.0,Premier Inn,Economy Class,Urban,Premier Inn,202007.0,448715278162.0,51.498199,-2.480002,"(51.498199, -2.480002)","[3764, 9.082149904725883]",3764,9.082149904725885
337,280198,Travelodge Bristol Emersons Green,Emersons Grn,Fieldfare,Bristol,WMI,United Kingdom,BS16 7FH,90,Bristol,Bristol Surrounding,202103.0,"Travelodge, UK",Economy Class,Urban,"Travelodge, UK",202103.0,448719846584.0,51.506016,-2.489236,"(51.506016, -2.489236)","[3764, 8.483758810630531]",3764,8.483758810630531
341,173106,The Park Hotel & Golf Resort,Bath Rd,,Bristol,WMI,United Kingdom,BS30 5RN,42,Bristol,Bristol Surrounding,,Independent,Upper Upscale Class,Resort,Independent,,441179371800.0,51.445051,-2.413801,"(51.445051, -2.413801)","[3764, 13.45451358110044]",3764,13.45451358110044
342,154452,Almondsbury Interchange Hotel,6 Gloucester Rd,,Bristol,WMI,United Kingdom,BS32 4AA,50,Bristol,Bristol Surrounding,196606.0,Independent,Economy Class,Small Metro/Town,Independent,202106.0,441454613206.0,51.551218,-2.569646,"(51.551218, -2.569646)","[3764, 4.2188260182884]",3764,4.2188260182884
343,242268,The Swan,14 Gloucester Rd,,Bristol,WMI,United Kingdom,BS32 4AA,12,Bristol,Bristol Surrounding,,Independent,Upscale Class,Small Metro/Town,Independent,,441454625671.0,51.551734,-2.569709,"(51.551734, -2.569709)","[3764, 4.211469924062818]",3764,4.211469924062818
344,242267,Bowl Inn,16 Church Rd,,Bristol,WMI,United Kingdom,BS32 4DT,11,Bristol,Bristol Surrounding,,Brains,Economy Class,Small Metro/Town,Brains,,441454612757.0,51.554557,-2.572609,"(51.554557, -2.572609)","[3764, 4.067008056907787]",3764,4.067008056907787
345,118975,DoubleTree By Hilton Hotel Bristol North,Woodlands Ln,Bradley Stoke,Bristol,WMI,United Kingdom,BS32 4JF,164,Bristol,Bristol Surrounding,198801.0,Stakis,Upscale Class,Suburban,DoubleTree by Hilton,202005.0,441454201144.0,51.54443,-2.565664,"(51.54443, -2.565664)","[3764, 4.4736166146832295]",3764,4.4736166146832295
346,125815,Aztec Hotel & Spa,Park Ave,Almondsbury,Bristol,WMI,United Kingdom,BS32 4TS,128,Bristol,Bristol Surrounding,198901.0,House of Daniel Thwaites,Upscale Class,Urban,House of Daniel Thwaites,202005.0,441454201090.0,51.542386,-2.567798,"(51.542386, -2.567798)","[3764, 4.420086471488815]",3764,4.420086471488815
347,155123,Lodge @ Bristol,Park Ave,,Bristol,WMI,United Kingdom,BS32 4TS,36,Bristol,Bristol Surrounding,200803.0,House of Daniel Thwaites,Upscale Class,Small Metro/Town,House of Daniel Thwaites,202104.0,441454201777.0,51.541744,-2.56863,"(51.541744, -2.56863)","[3764, 4.3977902022910005]",3764,4.3977902022910005
348,228896,Travelodge Bristol Filton,Hayes Way,Hayes Way,Bristol,WMI,United Kingdom,BS34 5JH,90,Bristol,Bristol Surrounding,201606.0,"Travelodge, UK",Economy Class,Urban,"Travelodge, UK",202006.0,448715591883.0,51.526255,-2.572413,"(51.526255, -2.572413)","[3764, 4.664823566056616]",3764,4.664823566056616
349,257670,Village Hotel Bristol,Bullfinch Clos,Filton,Bristol,WMI,United Kingdom,BS34 6FG,153,Bristol,Bristol Surrounding,201812.0,Village Hotel,Upper Midscale Class,Urban,Village Hotel,202007.0,441174563434.0,51.522851,-2.570012,"(51.522851, -2.570012)","[3764, 4.872841636622442]",3764,4.872841636622442
350,142131,Premier Inn Bristol Filton,Gloucester Road North,Shield Retail Park,Bristol,WMI,United Kingdom,BS34 7BR,62,Bristol,Bristol Surrounding,199801.0,Premier Inn,Economy Class,Urban,Premier Inn,202007.0,448715278164.0,51.508529,-2.575208,"(51.508529, -2.575208)","[3764, 5.284005854127456]",3764,5.284005854127456
351,134578,Holiday Inn Express Bristol Filton,New Rd,Bristol Parkway Business Park,Bristol,WMI,United Kingdom,BS34 8TJ,157,Bristol,Bristol Surrounding,200205.0,Holiday Inn Express,Upper Midscale Class,Interstate,Holiday Inn Express,200205.0,448719021604.0,51.507614,-2.555361,"(51.507614, -2.555361)","[3764, 5.985447311968175]",3764,5.985447311968175
352,113438,Mercure Bristol North The Grange Hotel,Old Gloucester Rd,Northwoods,Bristol,WMI,United Kingdom,BS36 1RP,68,Bristol,Bristol Surrounding,185106.0,Jarvis,Upper Midscale Class,Suburban,Mercure,202007.0,448448159063.0,51.539171,-2.523949,"(51.539171, -2.523949)","[3764, 6.3019828640947235]",3764,6.301982864094724
725,243016,Eyre Court Hotel,2 Queen St,,Seaton,SWE,United Kingdom,EX12 2NY,8,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upper Midscale Class,Small Metro/Town,Independent,,44129721455.0,50.70468,-3.071419,"(50.70468, -3.071419)","[2384, 0.1646695718667866]",2384,0.1646695718667866
737,242898,Belfry at Yarcombe,Main St,,Honiton,SWE,United Kingdom,EX14 9BD,6,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,197201.0,Independent,Upper Upscale Class,Small Metro/Town,Independent,197201.0,441404861234.0,50.868773,-3.074383,"(50.868773, -3.074383)","[2384, 11.500943379169625]",2384,11.500943379169623
751,174840,Hartnoll Hotel,Bolham Rd,,Tiverton,SWE,United Kingdom,EX16 7RA,26,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,,Independent,Upscale Class,Suburban,Independent,,441884252777.0,50.923173,-3.494089,"(50.923173, -3.494089)","[2877, 19.706921171853594]",2877,19.706921171853597
752,242289,Trout Inn,Exeter Rd,,Tiverton,SWE,United Kingdom,EX16 8RJ,2,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,175301.0,Independent,Upper Midscale Class,Small Metro/Town,Independent,175301.0,441884855596.0,50.858689,-3.511094,"(50.858689, -3.511094)","[3516, 16.755615831601745]",3516,16.755615831601745
753,158227,Bickleigh Castle Hotel,Bickleigh Castle,,Tiverton,SWE,United Kingdom,EX16 8RP,15,Channel Islands/Cornwall/Devon,Cornwall & Devon Regional,200206.0,Independent,Upper Midscale Class,Suburban,Independent,200206.0,441884855363.0,50.851154,-3.512581,"(50.851154, -3.512581)","[3516, 16.266901019412593]",3516,16.266901019412593
